Id	Title	Author
19630	Mahabharata	Anonymous - Mahabharata
543	Main Street	Sinclair Lewis
51565	Major Barbara	George Bernard Shaw
3328	Man and Superman	George Bernard Shaw
2153	Mary Barton	Elizabeth Gaskell
1792	Measure for Measure	William Shakespeare
1643	Meno	Plato
1779	Merchant of Venice	William Shakespeare
29220	Monday or Tuesday	Virginia Woolf
1783	Much Ado About Nothing	William Shakespeare
19810	My Antonia	Willa Cather
11620	My Brilliant Career	Miles Franklin
29433	Nature	Ralph Waldo Emerson
2434	New Atlantis	Francis Bacon
1709	New Grub Street	George Gissing
3261	News from Nowhere	William Morris
4276	North and South	Elizabeth Gaskell
24	O Pioneers	Willa Cather
130	Orthodoxy	G.K. Chesterton
1793	Othello	William Shakespeare
883	Our Mutual Friend	Charles Dickens
20	Paradise Lost	John Milton
36115	Peccavi	E.W. Hornung
13329	Pelléas and Mélisande	Maurice Maeterlinck
16	Peter Pan	J. M. Barrie
1332	Peter Pan in Kensington Gardens	J. M. Barrie
21943	Peter Schlemihl	Adelbert von Chamisso
1977	Phaedra	Jean Racine
10850	Philaster	Francis Beaumont
42671	Pride and Prejudice	Jane Austen
2276	Private Memoirs and Confessions of a Justified Sinner	James Hogg
34953	Quicksands	Adolf Streckfuss
2853	Quo Vadis	Henryk Sienkiewicz
2802	Ramona	Helen Hunt Jackson
1505	Rape of Lucrece	William Shakespeare
17500	Return of the Native	Thomas Hardy
2250	Richard II	William Shakespeare
2257	Richard III	William Shakespeare
994	Riders to the Sea	J. M. Synge
176	Roderick Hudson	Henry James
1777	Romeo and Juliet	William Shakespeare
42704	Salome	Oscar Wilde
220	Secret Sharer	Joseph Conrad
16966	Shakespearean Tragedy	A.C. Bradley
58344	Siddhartha	Hermann Hesse
550	Silas Marner	George Eliot
5267	Sister Carrie	Theodore Dreiser
391	Song of Roland	Anonymous
47634	Sons and Lovers	D.H. Lawrence
35330	Spanish Tragedy	Thomas Kyd
3470	Such is Life	Joseph Furphy
166	Summer	Edith Wharton
7178	Swann's Way	Marcel Proust
58340	Tarr	Wyndham Lewis
28488	Tartuffe	Jean-Baptiste Moliere
59899	Ten Days in a Mad-House	Nellie Bly
15396	Tender Buttons	Gertrude Stein
3012	The Acharnians	Aristophanes
1661	The Adventures of Sherlock Holmes	Sir Arthur Conan Doyle
74	The Adventures of Tom Sawyer	Mark Twain
541	The Age of Innocence	Edith Wharton
4081	The Alchemist	Ben Jonson
177	The American	Henry James
211	The Aspern Papers	Henry James
148	The Autobiography of Benjamin Franklin	Benjamin Franklin
58985	The Babees Book	Frederick James Furnivall
5265	The Ball and the Cross	G.K. Chesterton
301	The Ballad of Reading Gaol	Oscar Wilde
1719	The Ballad of the White Horse	G.K. Chesterton
1093	The Beast in the Jungle	Henry James
9830	The Beautiful and Damned	F. Scott Fitzgerald
2421	The Beggar's Opera	John Gay
47604	The Belle's Stratagem	Hannah Cowley
3013	The Birds	Aristophanes
52695	The Blessed Damozel	Dante Gabriel Rossetti
2081	The Blithedale Romance	Nathaniel Hawthorne
28054	The Brothers Karamazov	Fyodor Dostoevsky
14522	The Canterville Ghost	Oscar Wilde
696	The Castle of Otranto	Horace Walpole
2562	The Clouds	Aristophanes
11666	The Conjure Woman	Charles W. Chesnutt
7089	The Consolidator	Daniel Defoe
12431	The Coquette	Hannah Webster Foster
11052	The Custom of the Country	Edith Wharton
10102	The Czar's Spy	William Le Queux
3285	The Deerslayer	James Fenimore Cooper
22650	The Defence of Guenevere and Other Poems	William Morris
2300	The Descent of Man, and Selection in Relation to Sex	Charles Darwin
3331	The Diary of Samuel Pepys	Samuel Pepys
51564	The Doctor's Dilemma	George Bernard Shaw
2232	The Duchess of Malfi	John Webster
1604	The Ebb-Tide	Robert Louis Stevenson
2044	The Education of Henry Adams	Henry Adams
932	The Fall of the House of Usher	Edgar Allan Poe
645	The Figure in the Carpet	Henry James
36098	The Flowers of Evil	Charles Baudelaire
18883	The Four Feathers	A.E.W. Mason
7998	The Frogs	Aristophanes
2197	The Gambler	Fyodor Dostoevsky
3623	The Golden Bough	James George Frazer
4264	The Golden Bowl	Henry James
2775	The Good Soldier	Ford Madox Ford
8578	The Grand Inquisitor	Fyodor Dostoevsky
4015	The Hairy Ape	Eugene O’Neill
30120	The Happy Prince and Other Tales	Oscar Wilde
170	The Haunted Hotel	Wilkie Collins
6593	The History of Tom Jones, a Foundling	Henry Fielding
472	The House Behind the Cedars	Charles W. Chesnutt
3692	The House of Life	Dante Gabriel Rossetti
2638	The Idiot	Fyodor Dostoevsky
1164	The Iron Heel	Jack London
901	The Jew of Malta	Christopher Marlowe
140	The Jungle	Upton Sinclair
236	The Jungle Book	Rudyard Kipling
8492	The King in Yellow	Robert W. Chambers
54726	The Ladies' Paradise	Emile Zola
396	The Lady or the Tiger?	Frank Stockton
31869	The Lamplighter	Maria Cummins
10217	The Land of Little Rain	Mary Hunter Austin
53489	The Life of Lazarillo de Tormes	Anonymous
1376	The Little White Bird	J. M. Barrie
14257	The Magician	W. Somerset Maugham
1213	The Man That Corrupted Hadleyburg	Mark Twain
8147	The Man Who Would Be King	Rudyard Kipling
5083	The Man of Feeling	Henry Mackenzie
3457	The Man of the Forest	Zane Grey
11228	The Marrow of Tradition	Charles W. Chesnutt
143	The Mayor of Casterbridge	Thomas Hardy
10148	The Merry Adventures of Robin Hood	Howard Pyle
1781	The Merry Wives of Windsor	William Shakespeare
12122	The Monkey's Paw	W.W. Jacobs
222	The Moon and Sixpence	W. Somerset Maugham
3268	The Mysteries of Udolpho	Ann Radcliffe
13937	The Mysterious Rider	Zane Grey
51060	The Narrative of Arthur Gordon Pym of Nantucket	Edgar Allan Poe
1728	The Odyssey	Homer
57723	The Orkneyinga Saga	Anonymous
1880	The Pathfinder	James Fenimore Cooper
175	The Phantom of the Opera	Gaston Leroux
1525	The Phoenix and the Turtle	William Shakespeare
580	The Pickwick Papers	Charles Dickens
26740	The Picture of Dorian Gray	Oscar Wilde
2275	The Pioneers	James Fenimore Cooper
1240	The Playboy of the Western World	John Millington Synge
574	The Poems of William Blake	William Blake
2833	The Portrait of a Lady	Henry James
11229	The Purple Cloud	M.P. Shiel
23058	The Queen of Spades	Alexander Pushkin
24869	The Ramayana	Valmiki
17192	The Raven	Edgar Allan Poe
463	The Red Badge of Courage	Stephen Crane
44747	The Red and the Black	Stendhal
221	The Return of Sherlock Holmes	Sir Arthur Conan Doyle
37189	The Return of the Soldier	Rebecca West
151	The Rime of the Ancient Mariner	Samuel Coleridge
154	The Rise of Silas Lapham	William Dean Howells
24761	The Rivals	Richard Sheridan
6782	The Robbers	Friedrich Schiller
57447	The Romance of a Shop	Amy Levy
1929	The School for Scandal	Richard Sheridan
1754	The Seagull	Anton Chekhov
974	The Secret Agent	Joseph Conrad
17396	The Secret Garden	Frances Hodgson Burnett
59015	The Shadowy Third and Other Stories	Ellen Glasgow
42332	The Sorrows of Satan	Marie Corelli
2527	The Sorrows of Young Werther	Johann Wolfgang von Goethe
17854	The Sport of the Gods	Paul Laurence Dunbar
2397	The Story of My Life	Helen Keller
18328	The Story of Sigurd the Volsung and the Fall of the Niblungs	William Morris
770	The Story of the Treasure Seekers	E. Nesbit
2886	The Tales of the Argonauts	Bret Harte
1772	The Taming of the Shrew	William Shakespeare
1135	The Tempest	William Shakespeare
969	The Tenant of Wildfell Hall	Anne Brontë
35	The Time Machine	H. G. Wells
1773	The Two Gentlemen of Verona	William Shakespeare
549	The Underdogs	Mariano Azuela
3776	The Valley of Fear	Sir Arthur Conan Doyle
144	The Voyage Out	Virginia Woolf
1321	The Waste Land	T.S. Eliot
1292	The Way of the World	William Congreve
12915	The White Devil	John Webster
32491	The Wild Swans at Coole	William Butler Yeats
27805	The Wind in the Willows	Kenneth Grahame
1134	The Winter's Tale	William Shakespeare
12535	The Witness for the Defence	A.E.W. Mason
583	The Woman in White	Wilkie Collins
10935	The Wonderful Adventures of Nils	Selma Lagerlöf
43936	The Wonderful Wizard of Oz	L. Frank Baum
1952	The Yellow Wallpaper	Charlotte Perkins Gilman
805	This Side of Paradise	F. Scott Fitzgerald
15408	Three Lives	Gertrude Stein
12	Through the Looking-Glass	Lewis Carroll
1798	Timon of Athens	William Shakespeare
1771	Titus Andronicus	William Shakespeare
718	Tono-Bungay	H.G. Wells
27780	Treasure Island	Robert Louis Stevenson
1790	Troilus and Cressida	William Shakespeare
257	Troilus and Criseyde	Geoffrey Chaucer
2247	Twelfth Night	William Shakespeare
45631	Twelve Years a Slave	Solomon Northup
4300	Ulysses	James Joyce
1756	Uncle Vanya	Anton Chekhov
4380	Under Fire	Henri Barbusse
599	Vanity Fair	William Makepeace Thackeray
42401	Vathek	William Beckford
1045	Venus and Adonis	William Shakespeare
9182	Villette	Charlotte Bronte
2870	Washington Square	Henry James
7118	What Maisie Knew	Henry James
2948	Where Angels Fear To Tread	E.M. Forster
1845	Zuleika Dobson	Max Beerbohm
3329	Caesar and Cleopatra	George Bernard Shaw
14591	Faust	Johann Wolfgang von Goethe
1597	Andersen's Fairy Tales	Hans Christian Andersen
41537	Inferno	Dante Alighieri
521	Robinson Crusoe	Daniel Defoe
43	Strange Case of Dr. Jekyll and Mr. Hyde	Robert Louis Stevenson
160	The Awakening	Kate Chopin
1063	The Cask of Amontillado	Edgar Allan Poe
1132	The Life of Timon of Athens	William Shakespeare
5200	The Metamorphosis	Franz Kafka
1130	The Tragedy of Antony and Cleopatra	William Shakespeare
7849	The Trial	Franz Kafka
11757	The Velveteen Rabbit	Margery Williams
1123	Twelfth Night, or What You Will	William Shakespeare
